;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-03-06;5,38999988;3,959999911;7,279999837;7,61999983;9,789999781;8,919999801;3,279999927;3,389999924;5,459999878;8,849999802;5,219999883;12,56999972;6,499999855;13,97999969
2014-03-07;5,329999881;5,629999874;6,859999847;7,899999823;8,51999981;10,03999978;3,55999992;3,939999912;4,509999899;7,019999843;6,829999847;14,40999968;7,789999826;13,75999969
2014-03-08;4,4899999;6,339999858;4,589999897;4,439999901;6,879999846;10,66999976;5,839999869;5,81999987;6,619999852;6,079999864;6,889999846;16,25999964;8,469999811;14,12999968
2014-03-09;6,659999851;8,259999815;7,559999831;7,999999821;10,94999976;12,22999973;6,119999863;5,009999888;6,879999846;7,039999843;7,579999831;16,25999964;8,759999804;13,5599997
2014-03-10;4,4699999;6,779999848;5,539999876;5,35999988;5,35999988;9,369999791;5,249999883;4,539999899;6,859999847;6,199999861;4,149999907;18,0399996;6,039999865;12,62999972
2014-03-11;4,299999904;4,809999892;5,619999874;5,179999884;5,249999883;8,369999813;4,669999896;4,91999989;6,859999847;5,769999871;4,02999991;15,57999965;6,089999864;12,99999971
2014-03-12;3,859999914;7,519999832;5,079999886;4,449999901;3,209999928;9,089999797;6,599999852;6,399999857;6,779999848;7,189999839;4,669999896;15,41999966;7,16999984;12,65999972
2014-03-13;3,59999992;6,579999853;6,459999856;5,739999872;4,429999901;9,019999798;6,789999848;7,059999842;7,479999833;7,369999835;6,129999863;13,94999969;8,309999814;12,10999973
2014-03-14;3,949999912;6,649999851;8,189999817;7,439999834;6,909999846;8,359999813;8,699999806;8,47999981;8,05999982;9,059999797;6,829999847;11,52999974;8,169999817;10,82999976
2014-03-15;2,169999951;2,469999945;8,469999811;8,51999981;10,06999977;11,47999974;7,579999831;7,129999841;7,849999825;7,899999823;6,199999861;13,4499997;8,859999802;12,30999972
2014-03-16;3,059999932;-0,359999992;9,449999789;9,629999785;8,579999808;12,51999972;8,299999814;7,539999831;9,489999788;9,749999782;6,359999858;15,16999966;9,349999791;14,00999969
